trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2131844,14,249232,Princeton Junction,"4162",0,4162,14,
2131222,14,249232,Princeton Junction,"4164",0,4164,14,
2132106,14,249232,Princeton Junction,"4166",0,4166,14,
2132108,14,249232,Princeton Junction,"4168",0,4168,14,
2132110,14,249232,Princeton Junction,"4170",0,4170,14,
2132112,14,249232,Princeton Junction,"4172",0,4172,14,
2131983,14,249232,Princeton Station,"4175",1,4175,114,
2131984,14,249232,Princeton Station,"4177",1,4177,114,
2135399,14,249283,Princeton Station,"4179",1,4179,114,
2131661,14,249232,Princeton Station,"4181",1,4181,114,
2131663,14,249232,Princeton Station,"4183",1,4183,114,
2131858,14,249232,Princeton Junction,"4186",0,4186,14,
2131852,14,249232,Princeton Junction,"4188",0,4188,14,
2131853,14,249232,Princeton Junction,"4190",0,4190,14,
2131857,14,249232,Princeton Junction,"4192",0,4192,14,
2134523,14,249240,Princeton Junction,"4200",0,4200,14,
2134524,14,249240,Princeton Junction,"4202",0,4202,14,
2132460,14,249235,Princeton Station,"4225",1,4225,114,
2132414,14,249235,Princeton Station,"4227",1,4227,114,
2132416,14,249235,Princeton Station,"4229",1,4229,114,
2132418,14,249235,Princeton Station,"4231",1,4231,114,
2132420,14,249235,Princeton Station,"4233",1,4233,114,
2132425,14,249235,Princeton Junction,"4236",0,4236,14,
2132428,14,249235,Princeton Junction,"4240",0,4240,14,
2132429,14,249235,Princeton Junction,"4242",0,4242,14,
2131623,1,249232,Atlantic City Terminal,"4615",0,4615,1,
